model	ndcg@10	time_per_doc
100x25x25x10	0.3694923	2.034e-06
100x25x25x10	0.8541764	3.7362099999999998e-06
100x25x25x10	0.7221928	2.7476299999999997e-06
100x25x25x10	0.81722134	2.7375e-06
100x25x25x10	0.6113602	3.0254999999999997e-06
100x25x25x10	0.6397094	1.8645800000000002e-06
100x25x25x10	0.61743784	2.05806e-06
100x25x25x10	0.4904116	2.01296e-06
100x25x25x10	0.4539566	1.91922e-06
100x25x25x10	0.4207499	1.8325e-06
100x25x25x10	0.36212474	2.43728e-06
100x25x25x10	0.7468617	3.0623099999999997e-06
100x25x25x10	0.5869145	2.46638e-06
100x25x25x10	0.7319953	2.86173e-06
100x25x25x10	0.24606368	2.33677e-06
100x25x25x10	0.49195585	2.18161e-06
100x25x25x10	0.40314206	1.9605200000000002e-06
100x25x25x10	0.27226585	3.19644e-06
100x25x25x10	0.23848714	2.38731e-06
100x25x25x10	0.26986814	1.8762499999999998e-06
100x25x25x10	0.6678581	2.7473399999999998e-06
100x25x25x10	0.61185545	1.93173e-06
100x25x25x10	0.59878004	2.27918e-06
100x25x25x10	0.31088138	1.88495e-06
100x25x25x10	0.48431408	2.5225799999999997e-06
100x25x25x10	0.49632537	1.74088e-06
100x25x25x10	0.6072518	2.04964e-06
100x25x25x10	0.7387698	1.87449e-06
100x25x25x10	0.48711646	2.04083e-06
100x25x25x10	0.17034964	2.2237e-06
100x25x25x10	0.773439	3.16052e-06
100x25x25x10	0.5256044	1.67469e-06
100x25x25x10	0.43354768	1.77669e-06
100x25x25x10	0.339518	1.78564e-06
100x25x25x10	0.62401456	1.68129e-06
100x25x25x10	0.53874904	2.30377e-06
100x25x25x10	0.8608854	2.09778e-06
100x25x25x10	0.7919548	1.65613e-06
100x25x25x10	0.57416207	2.66042e-06
100x25x25x10	0.6930052	2.28843e-06
100x25x25x10	0.5522444	3.32071e-06
100x25x25x10	0.3065736	3.9775e-06
100x25x25x10	0.057069726	1.98517e-06
100x25x25x10	0.5264327	1.9237000000000003e-06
100x25x25x10	0.51195943	2.24322e-06
100x25x25x10	0.67859054	1.8965799999999998e-06
100x25x25x10	0.7191536	2.37678e-06
100x25x25x10	0.64082307	2.4932e-06
100x25x25x10	0.34375483	2.67026e-06
100x25x25x10	0.36972523	2.4665400000000003e-06
100x25x25x10	0.5116314	2.61185e-06
100x25x25x10	0.62087077	2.61687e-06
100x25x25x10	0.754929	3.3310600000000003e-06
100x25x25x10	0.30069196	1.74132e-06
100x25x25x10	0.5569418	2.74541e-06
100x25x25x10	0.8306962	1.93362e-06
100x25x25x10	0.7043699	2.84776e-06
100x25x25x10	0.31546488	2.15579e-06
100x25x25x10	0.5398421	2.51867e-06
100x25x25x10	0.0	2.45607e-06
100x25x25x10	0.19444011	2.72582e-06
100x25x25x10	0.8129819	1.9237099999999997e-06
100x25x25x10	0.70101386	1.93257e-06
100x25x25x10	0.5232722	3.31701e-06
100x25x25x10	0.47531882	1.94012e-06
100x25x25x10	0.64758766	1.7955799999999999e-06
100x25x25x10	0.6872865	1.89906e-06
100x25x25x10	0.37484625	2.26243e-06
100x25x25x10	0.57394737	2.86951e-06
100x25x25x10	0.35340425	2.34179e-06
100x25x25x10	0.34301847	3.70279e-06
100x25x25x10	0.61326545	1.85441e-06
100x25x25x10	0.30250752	2.37451e-06
100x25x25x10	0.3865503	2.37974e-06
100x25x25x10	0.7803555	2.1781100000000002e-06
100x25x25x10	0.49167854	1.65105e-06
100x25x25x10	0.6571664	2.45444e-06
100x25x25x10	0.36497992	1.92587e-06
100x25x25x10	0.37734368	2.0877699999999997e-06
100x25x25x10	0.36670434	3.3468e-06
100x25x25x10	0.8691666	2.94134e-06
100x25x25x10	0.35400054	2.4987300000000003e-06
100x25x25x10	0.48384377	1.90764e-06
100x25x25x10	0.047784634	2.6324999999999998e-06
100x25x25x10	0.26169878	1.8470400000000001e-06
100x25x25x10	0.9066151	2.9923100000000004e-06
100x25x25x10	0.82504314	2.28642e-06
100x25x25x10	0.48968068	2.08922e-06
100x25x25x10	0.0	2.99682e-06
100x25x25x10	0.72664845	2.6154300000000004e-06
100x25x25x10	0.5375409	2.45502e-06
100x25x25x10	0.58546466	1.92402e-06
100x25x25x10	0.5268224	2.19035e-06
100x25x25x10	0.104058966	1.90466e-06
100x25x25x10	0.57585406	1.9889200000000003e-06
100x25x25x10	0.3002829	1.99331e-06
100x25x25x10	0.7190641	4.16729e-06
100x25x25x10	0.4083798	2.27683e-06
100x25x25x10	0.05318472	1.9017300000000001e-06
100x25x25x10	0.3283496	2.51079e-06
100x25x25x10	0.18596421	2.5259e-06
100x25x25x10	0.93151945	2.92107e-06
100x25x25x10	0.4310094	2.12852e-06
100x25x25x10	0.44794366	2.00275e-06
100x25x25x10	0.33317497	2.35511e-06
100x25x25x10	0.6962993	1.68463e-06
100x25x25x10	0.49148545	2.9299599999999996e-06
100x25x25x10	0.3127094	2.06845e-06
100x25x25x10	0.5291818	1.8488099999999998e-06
100x25x25x10	0.6503096	2.07219e-06
100x25x25x10	0.48719472	1.8980700000000001e-06
100x25x25x10	0.3951094	2.02583e-06
100x25x25x10	0.4330361	2.23575e-06
100x25x25x10	0.66817254	1.7746899999999999e-06
100x25x25x10	0.80362946	2.13884e-06
100x25x25x10	0.2358337	2.94473e-06
100x25x25x10	0.71381676	1.8959899999999999e-06
100x25x25x10	0.21801317	1.9908e-06
