model	ndcg@10	time_per_doc
100x50x50x10	0.37478605	3.14432e-06
100x50x50x10	0.8209479	5.470399999999999e-06
100x50x50x10	0.7346271	4.19423e-06
100x50x50x10	0.7958696	4.18812e-06
100x50x50x10	0.8745014	4.42606e-06
100x50x50x10	0.67523503	2.88354e-06
100x50x50x10	0.6131735	3.2393899999999996e-06
100x50x50x10	0.50418425	3.0425200000000002e-06
100x50x50x10	0.38197404	2.8038400000000004e-06
100x50x50x10	0.46673134	2.5025599999999997e-06
100x50x50x10	0.39119378	3.5662899999999998e-06
100x50x50x10	0.7755467	4.4975e-06
100x50x50x10	0.5937847	3.6589e-06
100x50x50x10	0.5811964	4.2261900000000004e-06
100x50x50x10	0.2480689	3.4345399999999997e-06
100x50x50x10	0.44335803	3.16975e-06
100x50x50x10	0.4262858	2.8277600000000004e-06
100x50x50x10	0.18795161	4.36942e-06
100x50x50x10	0.19348301	3.40505e-06
100x50x50x10	0.38688418	2.69697e-06
100x50x50x10	0.69452596	3.99209e-06
100x50x50x10	0.6157325	2.83524e-06
100x50x50x10	0.6149234	3.42461e-06
100x50x50x10	0.32080483	2.58069e-06
100x50x50x10	0.41439378	3.4671299999999998e-06
100x50x50x10	0.506916	2.5257200000000004e-06
100x50x50x10	0.61275464	3.07002e-06
100x50x50x10	0.73440987	2.81563e-06
100x50x50x10	0.48274216	2.9433399999999997e-06
100x50x50x10	0.21495733	3.1977699999999997e-06
100x50x50x10	0.7932191	4.647800000000001e-06
100x50x50x10	0.5464863	2.52672e-06
100x50x50x10	0.41167498	2.64696e-06
100x50x50x10	0.36918783	2.6265699999999996e-06
100x50x50x10	0.5696638	2.56404e-06
100x50x50x10	0.48356664	3.5502499999999996e-06
100x50x50x10	0.8232274	3.27689e-06
100x50x50x10	0.8265035	2.5100200000000002e-06
100x50x50x10	0.8303834	4.132759999999999e-06
100x50x50x10	0.6900747	3.48363e-06
100x50x50x10	0.4667601	4.80377e-06
100x50x50x10	0.38685283	5.99371e-06
100x50x50x10	0.08481246	2.96064e-06
100x50x50x10	0.49064952	2.74249e-06
100x50x50x10	0.49580956	3.4152399999999998e-06
100x50x50x10	0.5999389	2.8593600000000003e-06
100x50x50x10	0.63306546	3.74104e-06
100x50x50x10	0.5693705	3.92142e-06
100x50x50x10	0.49783966	4.24815e-06
100x50x50x10	0.5116937	3.74371e-06
100x50x50x10	0.5085766	3.9170899999999995e-06
100x50x50x10	0.72119296	3.98837e-06
100x50x50x10	0.7464915	5.06136e-06
100x50x50x10	0.193379	2.63882e-06
100x50x50x10	0.54783744	4.05331e-06
100x50x50x10	0.76457083	3.08325e-06
100x50x50x10	0.7404789	4.19378e-06
100x50x50x10	0.3562072	3.45264e-06
100x50x50x10	0.551659	3.87031e-06
100x50x50x10	0.16716045	3.77413e-06
100x50x50x10	0.16396967	4.2963e-06
100x50x50x10	0.7909226	2.88184e-06
100x50x50x10	0.70243657	2.97709e-06
100x50x50x10	0.62681496	4.9863800000000005e-06
100x50x50x10	0.48874268	2.94373e-06
100x50x50x10	0.66887224	3.2370100000000004e-06
100x50x50x10	0.70441335	2.6834799999999997e-06
100x50x50x10	0.40722638	3.51621e-06
100x50x50x10	0.52040523	4.4574e-06
100x50x50x10	0.34956414	3.54489e-06
100x50x50x10	0.30383772	5.51324e-06
100x50x50x10	0.61557484	3.18053e-06
100x50x50x10	0.2675719	3.7109199999999996e-06
100x50x50x10	0.55972445	3.83268e-06
100x50x50x10	0.87938356	3.4262300000000003e-06
100x50x50x10	0.6767446	2.6051200000000004e-06
100x50x50x10	0.62914634	3.79374e-06
100x50x50x10	0.41433316	3.16683e-06
100x50x50x10	0.19972299	3.21415e-06
100x50x50x10	0.42677185	3.75529e-06
100x50x50x10	0.78079015	4.67556e-06
100x50x50x10	0.21002589	3.9270199999999995e-06
100x50x50x10	0.595161	2.77679e-06
100x50x50x10	0.06569061	4.04939e-06
100x50x50x10	0.33620024	2.69883e-06
100x50x50x10	0.6437741	3.35316e-06
100x50x50x10	0.90194154	3.4344799999999998e-06
100x50x50x10	0.50563073	3.1378899999999998e-06
100x50x50x10	0.0	4.17665e-06
100x50x50x10	0.7413687	4.2608800000000004e-06
100x50x50x10	0.4570824	3.7009199999999997e-06
100x50x50x10	0.58546466	3.00299e-06
100x50x50x10	0.52355546	3.4124700000000004e-06
100x50x50x10	0.104058966	2.98925e-06
100x50x50x10	0.58508235	2.81281e-06
100x50x50x10	0.23824963	2.98921e-06
100x50x50x10	0.85509616	5.06597e-06
100x50x50x10	0.39261442	3.32419e-06
100x50x50x10	0.008961603	2.8249999999999996e-06
100x50x50x10	0.5048446	3.6336000000000002e-06
100x50x50x10	0.18674476	3.7800899999999998e-06
100x50x50x10	0.6523236	4.38125e-06
100x50x50x10	0.54078454	3.12265e-06
100x50x50x10	0.50661	2.9117900000000004e-06
100x50x50x10	0.44748273	3.32364e-06
100x50x50x10	0.5745725	2.5252700000000002e-06
100x50x50x10	0.3903937	4.51144e-06
100x50x50x10	0.29298666	3.2366e-06
100x50x50x10	0.4781123	2.7802700000000003e-06
100x50x50x10	0.59307325	2.88201e-06
100x50x50x10	0.38717425	2.76379e-06
100x50x50x10	0.39783663	2.91923e-06
100x50x50x10	0.46181953	3.27279e-06
100x50x50x10	0.7863468	2.51052e-06
100x50x50x10	0.78314835	3.1779499999999998e-06
100x50x50x10	0.25160697	4.1994e-06
100x50x50x10	0.7266809	2.8138600000000004e-06
100x50x50x10	0.19815399	2.93889e-06
100x50x50x10	0.6941112	3.92661e-06
100x50x50x10	0.36589056	2.6791300000000003e-06
100x50x50x10	0.41108695	2.9076800000000004e-06
100x50x50x10	0.43277156	3.0515900000000003e-06
100x50x50x10	0.5360842	3.9111099999999996e-06
100x50x50x10	0.34760103	2.5677e-06
100x50x50x10	0.869874	3.4381299999999997e-06
100x50x50x10	0.4536481	2.9538799999999997e-06
100x50x50x10	0.5685347	4.6455e-06
100x50x50x10	0.3075677	2.85903e-06
100x50x50x10	0.29562446	3.8160500000000005e-06
100x50x50x10	0.5977885	2.7237600000000002e-06
100x50x50x10	0.5405019	3.53292e-06
100x50x50x10	0.57658917	2.87806e-06
100x50x50x10	0.48289678	8.94238e-06
100x50x50x10	0.41769332	5.775209999999999e-06
100x50x50x10	0.70762086	3.40913e-06
100x50x50x10	0.4962787	3.31515e-06
100x50x50x10	0.5900571	3.0495e-06
100x50x50x10	0.888402	4.57934e-06
100x50x50x10	0.38126	2.9689700000000003e-06
100x50x50x10	0.68365395	4.5355800000000005e-06
100x50x50x10	0.459769	4.61664e-06
100x50x50x10	0.9022263	3.50873e-06
100x50x50x10	0.2680739	3.6696e-06
100x50x50x10	0.04956208	2.93929e-06
100x50x50x10	0.4536019	3.85998e-06
100x50x50x10	0.41131714	2.7127800000000004e-06
100x50x50x10	0.34133732	3.06902e-06
100x50x50x10	1.0	4.96345e-06
100x50x50x10	0.5797092	3.1511e-06
100x50x50x10	0.4877321	2.57068e-06
100x50x50x10	0.41430515	3.6721999999999998e-06
100x50x50x10	0.34007552	4.95641e-06
100x50x50x10	0.60202295	3.4489599999999997e-06
100x50x50x10	0.60556847	3.2927800000000003e-06
100x50x50x10	0.5507767	3.6052099999999997e-06
100x50x50x10	0.7008171	3.0728100000000003e-06
100x50x50x10	0.5681164	3.1682700000000002e-06
