model	ndcg@10	time_per_doc
50x25x25x10	0.32334378	1.4896599999999999e-06
50x25x25x10	0.8694301	2.8625800000000002e-06
50x25x25x10	0.6737457	2.06196e-06
50x25x25x10	0.6156057	2.08115e-06
50x25x25x10	0.6084143	2.16506e-06
50x25x25x10	0.5964381	1.3956399999999999e-06
50x25x25x10	0.4837914	1.53321e-06
50x25x25x10	0.4904116	1.48e-06
50x25x25x10	0.44487095	1.42051e-06
50x25x25x10	0.47175905	1.28498e-06
50x25x25x10	0.30554926	1.7507e-06
50x25x25x10	0.7331033	2.23955e-06
50x25x25x10	0.54134095	1.7852100000000001e-06
50x25x25x10	0.56169647	1.96732e-06
50x25x25x10	0.26547983	1.73511e-06
50x25x25x10	0.415491	1.5915599999999999e-06
50x25x25x10	0.37600362	1.43009e-06
50x25x25x10	0.26106843	2.17411e-06
50x25x25x10	0.15268475	1.6829e-06
50x25x25x10	0.335182	1.36184e-06
50x25x25x10	0.60967225	2.01354e-06
50x25x25x10	0.6125631	1.3786699999999998e-06
50x25x25x10	0.5943153	1.70486e-06
50x25x25x10	0.31162447	1.3626299999999999e-06
50x25x25x10	0.49782395	1.78938e-06
50x25x25x10	0.41699886	1.2631999999999998e-06
50x25x25x10	0.36719188	1.48073e-06
50x25x25x10	0.7387698	1.3950000000000002e-06
50x25x25x10	0.4902139	1.47978e-06
50x25x25x10	0.21495733	1.5965299999999999e-06
50x25x25x10	0.7575842	2.37078e-06
50x25x25x10	0.5163803	1.23313e-06
50x25x25x10	0.35339293	1.26072e-06
50x25x25x10	0.39949083	1.33215e-06
50x25x25x10	0.61563253	1.2123e-06
50x25x25x10	0.5407737	1.80377e-06
50x25x25x10	0.8354872	1.6650499999999998e-06
50x25x25x10	0.74186724	1.25484e-06
50x25x25x10	0.49151847	1.98663e-06
50x25x25x10	0.6900747	1.7529900000000001e-06
50x25x25x10	0.3283295	2.36496e-06
50x25x25x10	0.4911493	3.2118099999999997e-06
50x25x25x10	0.1012249	1.53445e-06
50x25x25x10	0.4435222	1.3809e-06
50x25x25x10	0.512689	1.72356e-06
50x25x25x10	0.61657834	1.54807e-06
50x25x25x10	0.6088617	1.82136e-06
50x25x25x10	0.83496505	1.8854399999999998e-06
50x25x25x10	0.47405237	2.16435e-06
50x25x25x10	0.7410709	1.84762e-06
50x25x25x10	0.52513	1.92482e-06
50x25x25x10	0.6531259	2.0259e-06
50x25x25x10	0.7528066	2.48178e-06
50x25x25x10	0.16788873	1.28988e-06
50x25x25x10	0.5569418	2.0139399999999997e-06
50x25x25x10	0.7948833	1.4567900000000001e-06
50x25x25x10	0.690636	2.09404e-06
50x25x25x10	0.3562072	1.69042e-06
50x25x25x10	0.51888174	1.7987800000000001e-06
50x25x25x10	0.0	1.86697e-06
50x25x25x10	0.21694364	1.98326e-06
50x25x25x10	0.80511016	1.42137e-06
50x25x25x10	0.7210796	1.44736e-06
50x25x25x10	0.48651922	2.28799e-06
50x25x25x10	0.43418527	1.44955e-06
50x25x25x10	0.67090124	1.38204e-06
50x25x25x10	0.72857577	1.31126e-06
50x25x25x10	0.40390033	1.64299e-06
50x25x25x10	0.57394737	2.12609e-06
50x25x25x10	0.36129746	1.64961e-06
50x25x25x10	0.34301847	2.61324e-06
50x25x25x10	0.4246123	1.36206e-06
50x25x25x10	0.5919537	1.6980400000000001e-06
50x25x25x10	0.5439736	1.8771799999999999e-06
50x25x25x10	0.74951524	1.6783e-06
50x25x25x10	0.25972247	1.2092e-06
50x25x25x10	0.6164849	1.78442e-06
50x25x25x10	0.37302378	1.3916300000000001e-06
50x25x25x10	0.2397418	1.50046e-06
50x25x25x10	0.4453796	1.8307899999999998e-06
50x25x25x10	0.8932552	2.24979e-06
50x25x25x10	0.20549291	1.89051e-06
50x25x25x10	0.5420222	1.3457700000000001e-06
50x25x25x10	0.0470558	1.92131e-06
50x25x25x10	0.30272612	1.29004e-06
50x25x25x10	0.58248603	1.65509e-06
50x25x25x10	0.88342655	1.6050800000000002e-06
