model	ndcg@10	time_per_doc
200x50x50x25	0.33584422	4.9482500000000004e-06
200x50x50x25	0.7881198	8.82113e-06
200x50x50x25	0.70780694	6.66897e-06
200x50x50x25	0.6071145	6.92368e-06
200x50x50x25	0.87744737	6.88481e-06
200x50x50x25	0.71637696	4.55115e-06
200x50x50x25	0.6015851	5.04926e-06
200x50x50x25	0.49876294	5.00648e-06
200x50x50x25	0.27416793	4.62033e-06
200x50x50x25	0.46822873	4.41289e-06
200x50x50x25	0.26547128	6.19725e-06
200x50x50x25	0.7755467	7.65218e-06
200x50x50x25	0.65639246	6.17806e-06
200x50x50x25	0.61644304	6.85042e-06
200x50x50x25	0.24859054	5.7011599999999995e-06
200x50x50x25	0.4948977	5.246229999999999e-06
200x50x50x25	0.4226078	4.77732e-06
200x50x50x25	0.26106843	7.2190100000000005e-06
200x50x50x25	0.22998409	5.7157e-06
200x50x50x25	0.31623167	4.63507e-06
200x50x50x25	0.6417214	6.5379699999999995e-06
200x50x50x25	0.63105917	4.44177e-06
200x50x50x25	0.6219448	5.72391e-06
200x50x50x25	0.4253662	4.39652e-06
200x50x50x25	0.40234637	5.84104e-06
200x50x50x25	0.47164926	4.3271e-06
200x50x50x25	0.61970186	4.97319e-06
200x50x50x25	0.73724806	4.61525e-06
200x50x50x25	0.48101196	4.97163e-06
200x50x50x25	0.21495733	5.27068e-06
200x50x50x25	0.7638364	7.91769e-06
200x50x50x25	0.56305075	4.24385e-06
200x50x50x25	0.4610712	4.45414e-06
200x50x50x25	0.40842748	4.60024e-06
200x50x50x25	0.61022985	5.2056100000000005e-06
200x50x50x25	0.46087942	5.54069e-06
200x50x50x25	0.8567482	5.3183599999999995e-06
200x50x50x25	0.80662745	4.15121e-06
200x50x50x25	0.6575686	6.87644e-06
200x50x50x25	0.676231	5.59461e-06
200x50x50x25	0.47248182	8.07485e-06
200x50x50x25	0.38685283	9.61716e-06
200x50x50x25	0.087203674	4.70288e-06
200x50x50x25	0.5395283	4.51391e-06
200x50x50x25	0.48859093	5.3989900000000005e-06
200x50x50x25	0.5614965	4.68197e-06
200x50x50x25	0.69827014	5.87731e-06
200x50x50x25	0.6932167	6.13881e-06
200x50x50x25	0.4923492	6.77756e-06
200x50x50x25	0.7322195	6.04175e-06
200x50x50x25	0.50276613	6.06994e-06
200x50x50x25	0.6625412	6.33988e-06
200x50x50x25	0.82502866	7.80375e-06
200x50x50x25	0.3706902	4.2630600000000005e-06
200x50x50x25	0.55218977	6.67809e-06
200x50x50x25	0.82084167	4.83868e-06
200x50x50x25	0.7423141	6.85026e-06
200x50x50x25	0.31546488	5.1431899999999995e-06
200x50x50x25	0.526308	5.720260000000001e-06
200x50x50x25	0.20210735	5.89295e-06
200x50x50x25	0.2232589	6.87025e-06
200x50x50x25	0.8289255	4.41531e-06
200x50x50x25	0.7288884	5.02082e-06
200x50x50x25	0.5828882	7.86056e-06
200x50x50x25	0.47005504	4.63881e-06
200x50x50x25	0.6606933	4.69509e-06
200x50x50x25	0.71545583	4.57927e-06
200x50x50x25	0.38853082	5.61441e-06
200x50x50x25	0.51341397	7.15158e-06
200x50x50x25	0.36776197	5.606529999999999e-06
200x50x50x25	0.3227266	8.30831e-06
200x50x50x25	0.6097712	4.55934e-06
200x50x50x25	0.2988216	5.80783e-06
200x50x50x25	0.44434765	6.2651500000000005e-06
200x50x50x25	0.8433924	5.28915e-06
200x50x50x25	0.66721886	4.1772500000000005e-06
200x50x50x25	0.67156017	6.193659999999999e-06
200x50x50x25	0.54096216	4.82183e-06
200x50x50x25	0.22947788	5.10966e-06
200x50x50x25	0.34023106	6.201529999999999e-06
200x50x50x25	0.8564217	7.459750000000001e-06
200x50x50x25	0.29042464	6.50934e-06
200x50x50x25	0.5250319	5.15574e-06
200x50x50x25	0.06569061	6.53732e-06
200x50x50x25	0.24380943	4.4396e-06
200x50x50x25	0.83390325	5.313489999999999e-06
200x50x50x25	0.90267277	5.54747e-06
200x50x50x25	0.39218816	5.20233e-06
200x50x50x25	0.0	6.4467e-06
200x50x50x25	0.8650197	6.48744e-06
200x50x50x25	0.51426846	5.88533e-06
200x50x50x25	0.64083856	4.65791e-06
200x50x50x25	0.4947606	5.47919e-06
200x50x50x25	0.16277973	4.6728599999999995e-06
200x50x50x25	0.65478224	4.73728e-06
200x50x50x25	0.29658708	4.80155e-06
200x50x50x25	0.7525434	7.98319e-06
200x50x50x25	0.3376694	5.59902e-06
200x50x50x25	0.034616232	4.52294e-06
200x50x50x25	0.5074295	5.9832e-06
200x50x50x25	0.18482758	5.997869999999999e-06
200x50x50x25	0.9448609	6.86e-06
200x50x50x25	0.48168698	5.08608e-06
200x50x50x25	0.4460943	4.7439599999999996e-06
200x50x50x25	0.20705123	5.66379e-06
200x50x50x25	0.6447654	4.27916e-06
200x50x50x25	0.49148545	7.51673e-06
200x50x50x25	0.3057044	5.13027e-06
200x50x50x25	0.47349054	4.53653e-06
200x50x50x25	0.5779772	4.79905e-06
200x50x50x25	0.4965642	4.69317e-06
200x50x50x25	0.27694836	4.72522e-06
200x50x50x25	0.44332203	5.37272e-06
200x50x50x25	0.75645477	4.4825799999999995e-06
200x50x50x25	0.77133185	5.3244400000000005e-06
200x50x50x25	0.23118415	7.213629999999999e-06
200x50x50x25	0.566186	4.85542e-06
200x50x50x25	0.20856333	4.87052e-06
200x50x50x25	0.6376116	6.2626800000000005e-06
200x50x50x25	0.45342538	4.53814e-06
200x50x50x25	0.42816058	4.84529e-06
200x50x50x25	0.41108266	4.96442e-06
200x50x50x25	0.46647173	6.725410000000001e-06
200x50x50x25	0.36071494	4.22876e-06
200x50x50x25	0.88004565	5.57835e-06
200x50x50x25	0.45060763	4.7147899999999995e-06
200x50x50x25	0.5822709	7.55611e-06
200x50x50x25	0.32333115	4.4696e-06
200x50x50x25	0.2972558	6.255699999999999e-06
200x50x50x25	0.6622008	5.5274199999999995e-06
200x50x50x25	0.5100923	5.651920000000001e-06
200x50x50x25	0.51607263	4.72731e-06
200x50x50x25	0.48289678	1.3513800000000001e-05
200x50x50x25	0.39364785	6.458429999999999e-06
200x50x50x25	0.7340318	5.21557e-06
200x50x50x25	0.41075623	5.1903999999999995e-06
200x50x50x25	0.47628716	4.823490000000001e-06
200x50x50x25	0.897943	7.5689600000000005e-06
200x50x50x25	0.3844823	4.67761e-06
200x50x50x25	0.72352695	7.20764e-06
200x50x50x25	0.44060314	7.31779e-06
200x50x50x25	0.8712965	5.23656e-06
200x50x50x25	0.405112	5.72561e-06
200x50x50x25	0.09226745	4.99931e-06
200x50x50x25	0.44793457	5.89915e-06
200x50x50x25	0.33852124	4.28174e-06
200x50x50x25	0.34759554	4.22047e-06
200x50x50x25	1.0	6.97662e-06
200x50x50x25	0.64215803	4.819e-06
200x50x50x25	0.46133992	4.04628e-06
200x50x50x25	0.5090656	5.78838e-06
200x50x50x25	0.25499204	6.63215e-06
200x50x50x25	0.6406763	5.47952e-06
200x50x50x25	0.7056544	5.24197e-06
200x50x50x25	0.50077856	5.479889999999999e-06
200x50x50x25	0.6580044	4.74719e-06
200x50x50x25	0.71136194	4.75379e-06
200x50x50x25	0.7922685	5.89159e-06
200x50x50x25	0.45318532	5.62117e-06
200x50x50x25	0.63628167	5.3091699999999995e-06
200x50x50x25	0.9484468	4.2196499999999995e-06
200x50x50x25	0.7382524	5.30201e-06
200x50x50x25	0.24425848	4.53161e-06
200x50x50x25	0.39629325	4.8889700000000006e-06
200x50x50x25	0.832667	5.30903e-06
200x50x50x25	0.40120804	4.32209e-06
200x50x50x25	0.5217702	5.41124e-06
200x50x50x25	0.3991111	4.83071e-06
200x50x50x25	0.53629446	6.05912e-06
200x50x50x25	0.39325914	7.60011e-06
200x50x50x25	0.6287461	6.23464e-06
200x50x50x25	0.36869165	4.84911e-06
200x50x50x25	0.81950915	5.26264e-06
200x50x50x25	0.20547196	6.14886e-06
200x50x50x25	0.8160647	4.3395e-06
200x50x50x25	0.52889776	5.28474e-06
200x50x50x25	0.1542805	4.73703e-06
200x50x50x25	0.83793473	5.56951e-06
200x50x50x25	0.37553674	5.26364e-06
200x50x50x25	0.64659894	5.19976e-06
200x50x50x25	0.65121865	5.2198e-06
200x50x50x25	0.6764565	4.67966e-06
200x50x50x25	0.20970584	5.25894e-06
200x50x50x25	0.7074982	9.63461e-06
200x50x50x25	0.3550477	5.803310000000001e-06
200x50x50x25	0.61151254	4.39508e-06
200x50x50x25	0.524151	4.55097e-06
200x50x50x25	0.3999876	6.78678e-06
200x50x50x25	0.37342736	5.43995e-06
200x50x50x25	0.12989897	5.4696999999999995e-06
200x50x50x25	0.5330753	4.22535e-06
200x50x50x25	0.68860567	4.88488e-06
200x50x50x25	0.66605383	5.53603e-06
200x50x50x25	0.8528334	4.2805e-06
200x50x50x25	0.54251254	6.33664e-06
200x50x50x25	0.5979412	7.855e-06
200x50x50x25	0.5835002	1.07327e-05
200x50x50x25	0.53257173	4.7833e-06
200x50x50x25	0.37354508	4.19471e-06
200x50x50x25	0.59090245	7.193500000000001e-06
200x50x50x25	0.3246078	6.80389e-06
200x50x50x25	0.36353204	4.59962e-06
200x50x50x25	0.81091326	5.022330000000001e-06
200x50x50x25	0.49428377	6.723400000000001e-06
200x50x50x25	0.330206	7.31726e-06
200x50x50x25	0.5292817	5.09165e-06
200x50x50x25	0.73215485	5.90717e-06
200x50x50x25	0.39933234	4.39668e-06
200x50x50x25	0.29383227	5.8476099999999996e-06
200x50x50x25	0.0	4.53047e-06
200x50x50x25	0.6816294	6.36482e-06
200x50x50x25	0.4686793	6.909809999999999e-06
200x50x50x25	0.9733361	5.5654e-06
200x50x50x25	0.41324392	4.66524e-06
200x50x50x25	1.0	5.265330000000001e-06
200x50x50x25	0.0	5.25888e-06
200x50x50x25	0.26042786	4.93399e-06
200x50x50x25	0.88875175	8.18288e-06
200x50x50x25	0.38023186	4.9223499999999996e-06
200x50x50x25	1.0	8.43699e-06
200x50x50x25	0.5148065	5.28656e-06
200x50x50x25	0.36728704	4.38681e-06
200x50x50x25	0.7985281	7.48838e-06
